CustomerID,Age,Gender,PolicyType,PolicyStartDate,PolicyEndDate,PremiumAmount,ClaimsMade,CustomerSatisfactionScore,Region
52,51,Female,Motor,14/12/2023,14/12/2025 0:00,567.48,2,8,North
53,50,Male,Motor,23/06/2022,23/06/2023 0:00,903.51,5,1,South
54,59,Male,Auto,07/03/2021,07/03/2023 0:00,423.41,4,5,North
55,61,Female,Motor,29/10/2021,29/10/2023 0:00,331.16,4,5,West
56,68,Female,Motor,14/11/2020,14/11/2022 0:00,1092.88,0,1,East
57,59,Male,Motor,23/12/2021,,801.97,3,9,West
58,50,Female,Auto,14/09/2021,14/09/2024 0:00,1452,5,1,West
59,44,,Auto,23/02/2024,23/02/2027 0:00,516.51,0,1,East
60,60,Female,Motor,19/12/2021,19/12/2023 0:00,334.94,3,3,South
61,60,Male,Home,25/05/2021,25/05/2022 0:00,1227.76,0,4,East
62,65,Female,Home,02/04/2023,02/04/2026 0:00,807.01,1,4,North
63,38,Female,Motor,14/03/2023,,301.59,5,5,North
64,20,Male,Motor,09/06/2023,,1383.73,2,6,West
65,47,Male,Auto,25/09/2019,25/09/2022 0:00,1419.76,3,3,East
66,63,Male,Motor,06/01/2023,06/01/2026 0:00,1072.03,3,4,West
67,56,Male,Auto,03/04/2022,03/04/2025 0:00,489.68,2,1,West
68,62,Female,Auto,17/07/2023,,328.4,3,6,West
69,55,Male,Auto,17/02/2023,17/02/2024 0:00,764.82,0,7,South
70,64,Male,Motor,05/02/2023,,980.4,4,1,South
71,23,Female,Auto,01/07/2021,01/07/2022 0:00,1094.78,0,8,North
72,39,Female,Motor,25/09/2019,,734.13,3,,East
73,50,Female,Motor,10/05/2020,10/05/2023 0:00,1205.72,4,6,North
74,55,Female,Motor,09/07/2021,09/07/2023 0:00,1314.5,4,9,South
75,64,Male,Auto,01/05/2020,01/05/2022 0:00,942.58,2,8,South
76,48,Female,Motor,05/11/2021,05/11/2024 0:00,363.45,5,8,West
77,66,Male,Motor,30/03/2021,30/03/2024 0:00,470.95,5,4,East
78,31,Female,Home,27/10/2019,27/10/2022 0:00,338.32,1,7,West
79,52,Male,Home,13/11/2019,13/11/2021 0:00,488,3,8,North
80,31,Male,Auto,30/09/2022,30/09/2023 0:00,1046.05,5,5,North
81,34,Male,Motor,22/07/2020,,1169.51,2,9,North
82,39,Female,Motor,24/08/2023,24/08/2025 0:00,808.44,4,6,East
83,67,Male,Motor,20/12/2020,,1396.28,1,3,East
84,25,Male,Home,21/11/2020,21/11/2022 0:00,1238.79,5,9,East
85,28,Male,Motor,24/05/2024,24/05/2025 0:00,1291.95,4,9,South
86,22,Male,Auto,29/05/2024,29/05/2027 0:00,1312.99,1,8,West
87,42,Female,Motor,13/12/2020,,637.28,2,2,West
88,62,Male,Motor,25/01/2023,,849.49,0,7,West
89,51,Male,Motor,14/08/2022,14/08/2024 0:00,788.85,3,2,East
90,34,Male,Motor,17/01/2022,,1392.15,5,2,North
91,29,,Motor,13/03/2024,,616.44,5,8,East
92,69,Female,Motor,03/04/2021,03/04/2024 0:00,498.07,1,6,North
93,60,Male,Motor,15/04/2021,15/04/2024 0:00,487.14,2,5,North
94,62,Male,Motor,07/09/2022,,335.6,2,10,South
95,42,Female,Motor,06/09/2021,06/09/2024 0:00,819.08,3,7,South
96,69,Female,Home,04/02/2021,04/02/2022 0:00,1161,2,4,North
97,52,Female,Home,04/03/2022,04/03/2025 0:00,901.84,0,3,North
98,24,Female,Motor,22/06/2020,22/06/2021 0:00,1193.54,3,4,North
99,55,Female,Motor,17/02/2021,17/02/2023 0:00,565.63,0,5,South
100,28,Male,Auto,04/10/2019,04/10/2021 0:00,1030.83,0,8,West
101,29,Male,Motor,09/06/2020,09/06/2022 0:00,515.16,2,9,West
102,27,Female,Motor,30/04/2024,,524.98,0,9,West
103,27,Female,Auto,29/09/2021,29/09/2024 0:00,1233.79,0,5,West
104,63,Male,Motor,12/07/2024,12/07/2025 0:00,713.4,,9,East
105,53,Male,Motor,22/06/2020,,1361.02,3,3,West
106,53,Male,Home,09/10/2023,09/10/2024 0:00,669.66,3,2,East
107,52,Male,Motor,27/04/2023,27/04/2025 0:00,1073.13,1,4,West
108,67,,Motor,08/06/2023,08/06/2024 0:00,641.59,0,4,North
109,43,Female,Motor,05/12/2020,05/12/2022 0:00,254.41,0,,North
110,49,Male,Auto,24/01/2021,24/01/2022 0:00,1091.02,3,2,East
111,45,Male,Motor,17/05/2020,,1348.44,5,10,South
112,62,Male,Home,06/11/2019,06/11/2020 0:00,1194.8,2,6,North
113,29,Female,Motor,31/05/2022,31/05/2023 0:00,403.84,1,7,North
114,55,Male,Auto,28/08/2020,28/08/2022 0:00,1289.6,0,6,South
115,18,Male,Motor,21/03/2020,,1357.96,1,6,East
116,46,Male,Motor,11/11/2022,11/11/2024 0:00,1416.36,5,,South
117,67,Female,Auto,31/08/2023,,1356.6,5,5,West
118,24,Female,Home,20/07/2020,20/07/2023 0:00,696.31,,4,North
119,59,Male,Auto,10/11/2022,10/11/2024 0:00,741.83,2,2,North
120,39,Male,Home,14/10/2023,14/10/2025 0:00,844.22,3,2,North
121,69,Male,Home,06/03/2020,06/03/2021 0:00,624.58,1,5,West
122,30,Male,Motor,05/11/2023,,1014.82,3,4,South
123,37,Female,Motor,14/05/2021,14/05/2023 0:00,774.33,4,4,North
124,,Female,Motor,15/01/2021,15/01/2024 0:00,1263.54,1,9,West
125,61,Female,Auto,26/03/2022,26/03/2023 0:00,270.12,2,4,South
126,50,Female,Motor,08/07/2021,,368.2,1,8,West
127,62,Male,Motor,09/02/2023,09/02/2026 0:00,1494.92,2,9,East
128,23,Female,Home,31/07/2023,31/07/2024 0:00,580.97,0,6,North
129,60,Male,Home,17/07/2020,17/07/2022 0:00,1267.25,0,2,South
130,38,Male,Motor,24/12/2023,24/12/2024 0:00,1370.58,2,5,West
131,51,Female,Auto,19/07/2021,19/07/2023 0:00,1332.78,1,1,West
132,70,Male,Home,20/04/2021,20/04/2024 0:00,302.5,3,6,West
133,20,Male,Motor,23/08/2020,,513.12,4,8,North
134,57,Female,Home,01/04/2024,01/04/2025 0:00,999.12,0,10,South
135,38,Female,Motor,03/10/2021,03/10/2022 0:00,952.51,2,9,East
136,21,Female,Motor,18/06/2023,18/06/2025 0:00,901.11,3,6,South
137,31,Male,Auto,18/09/2020,18/09/2023 0:00,515.02,0,7,East
138,33,Female,Motor,21/04/2022,,1436.24,4,3,North
139,24,Male,Motor,06/04/2022,,1279.48,2,8,East
140,34,Female,Auto,26/01/2023,26/01/2024 0:00,481.52,0,9,North
141,44,Female,Motor,02/02/2021,02/02/2024 0:00,433.69,0,8,East
142,25,Male,Auto,10/11/2020,10/11/2022 0:00,280.34,0,6,North
143,32,Male,Motor,26/12/2023,26/12/2025 0:00,1250.51,1,8,East
144,57,Male,Motor,23/04/2022,23/04/2023 0:00,1486.28,1,10,South
145,61,Male,Home,07/04/2022,07/04/2025 0:00,264.41,1,4,North
146,19,Female,Home,15/02/2020,15/02/2021 0:00,1472.63,5,7,North
147,32,Male,Motor,08/12/2020,08/12/2021 0:00,1484.24,2,3,West
148,41,Male,Auto,26/06/2021,26/06/2024 0:00,458.72,5,7,East
149,55,Male,Auto,29/09/2022,29/09/2023 0:00,1388,1,5,South
150,37,Male,Home,03/09/2020,03/09/2022 0:00,1445.25,4,2,North
151,44,Male,Home,28/11/2020,28/11/2021 0:00,987.23,3,7,East
152,67,Male,Motor,01/01/2024,01/01/2026 0:00,608,5,,North
153,63,Male,Motor,27/11/2022,27/11/2023 0:00,546.68,1,6,North
154,49,Female,Home,11/08/2021,11/08/2022 0:00,1438.4,2,2,East
155,27,Male,Home,29/04/2023,29/04/2025 0:00,975.09,4,9,South
156,48,Male,Auto,08/03/2021,08/03/2022 0:00,1498.77,4,10,East
157,,Male,Motor,14/11/2021,,846.12,3,8,North
158,41,Male,Motor,06/04/2022,,1390.91,5,8,East
159,32,Female,Motor,06/02/2022,06/02/2025 0:00,1296.99,3,3,South
160,56,Male,Motor,22/01/2021,22/01/2024 0:00,928.14,4,4,North
161,66,Female,Auto,25/12/2022,25/12/2025 0:00,967.3,1,4,East
162,62,Male,Home,09/07/2022,09/07/2023 0:00,554.26,4,7,South
163,,Male,Motor,13/01/2024,13/01/2025 0:00,383.92,0,7,South
164,56,Female,Motor,25/06/2020,25/06/2021 0:00,758.5,2,5,East
165,33,Female,Motor,09/09/2021,,1276.51,2,4,West
166,68,Male,Auto,13/02/2021,13/02/2024 0:00,1419.09,0,7,South
167,59,Female,Motor,26/12/2020,26/12/2023 0:00,1047.11,5,7,East
168,21,Female,Motor,09/12/2020,,1018.76,2,4,East
169,69,Female,Home,20/11/2019,20/11/2020 0:00,629.93,5,7,West
170,54,Female,Motor,23/06/2020,23/06/2022 0:00,1421.48,1,5,West
171,22,Female,Auto,05/02/2022,05/02/2023 0:00,858.89,1,7,East
172,66,Female,Auto,08/06/2020,08/06/2022 0:00,1376.03,5,5,South
173,37,Female,Motor,01/04/2023,01/04/2025 0:00,573.33,4,8,West
174,60,Female,Auto,16/08/2024,16/08/2027 0:00,941.26,5,1,West
175,38,Female,Motor,05/03/2023,05/03/2024 0:00,333.59,2,7,South
176,70,Male,Home,22/02/2020,22/02/2022 0:00,686.3,2,4,North
177,48,Male,Motor,17/12/2022,,1102.15,0,3,South
178,57,Male,Auto,18/12/2022,18/12/2023 0:00,634.23,0,9,West
179,39,Female,Auto,18/12/2021,,1347.53,3,3,West
180,26,Male,Home,10/12/2023,10/12/2026 0:00,1241.89,0,9,North
181,50,Male,Motor,21/05/2021,21/05/2023 0:00,752.98,5,2,North
182,40,Female,Auto,03/07/2020,03/07/2022 0:00,850.99,3,,North
183,63,Male,Motor,12/08/2020,12/08/2023 0:00,816.15,0,7,East
184,33,Male,Home,01/08/2024,01/08/2026 0:00,341.21,4,1,East
185,27,Female,Motor,12/11/2020,12/11/2023 0:00,923.69,5,8,East
186,38,Female,Motor,28/02/2022,,493.35,2,3,West
187,39,Male,Motor,29/12/2019,,741.7,4,10,South
188,61,Female,Auto,10/09/2024,10/09/2026 0:00,915.38,5,2,South
189,50,Male,Auto,05/06/2023,05/06/2026 0:00,1162.93,3,3,South
190,38,Female,Motor,31/10/2019,,1112.93,3,10,South
191,23,Male,Home,04/06/2024,04/06/2026 0:00,1424.41,5,9,North
192,67,Female,Auto,10/01/2022,10/01/2023 0:00,918.34,2,8,South
193,21,Female,Auto,06/04/2023,06/04/2026 0:00,923.88,0,10,West
194,60,Female,Auto,27/07/2023,27/07/2026 0:00,295.35,4,10,East
195,43,Male,Motor,20/03/2021,,981.8,0,4,North
196,58,Male,Motor,09/07/2024,,770.47,5,1,West
197,69,Male,Motor,28/10/2021,28/10/2023 0:00,749.1,0,10,West
198,30,Female,Motor,09/07/2021,,1355.94,0,8,North
199,65,Male,Home,15/11/2019,15/11/2022 0:00,1105.04,3,3,South
200,56,Male,Motor,23/12/2020,,1287.18,1,5,North
201,22,Female,Motor,20/06/2020,20/06/2022 0:00,708.77,5,2,West
202,62,Male,Motor,13/01/2023,13/01/2026 0:00,1415.6,2,3,South
203,18,Male,Motor,19/04/2021,,728.69,,1,South
204,21,Female,Auto,07/12/2020,07/12/2023 0:00,1131.15,2,10,East
205,30,Female,Auto,10/08/2022,10/08/2023 0:00,728.63,5,8,South
206,44,Female,Auto,06/09/2020,06/09/2022 0:00,739.75,4,10,North
207,64,Male,Home,21/12/2023,21/12/2026 0:00,490.05,1,4,East
208,45,Male,Motor,06/12/2023,06/12/2025 0:00,invalid,2,2,East
209,29,Male,Home,01/06/2022,01/06/2023 0:00,330.11,2,4,East
210,43,Male,Motor,27/03/2020,27/03/2021 0:00,1394.46,4,4,West
211,35,Female,Motor,22/08/2022,,403.82,,3,East
212,39,Female,Motor,08/12/2020,,1141.25,0,1,West
213,55,Male,Motor,11/06/2024,,313.85,1,1,North
214,27,Male,Motor,04/04/2022,,1296.53,3,2,West
215,26,Male,Home,19/11/2023,19/11/2025 0:00,721.68,1,1,West
216,20,Male,Motor,04/02/2024,04/02/2026 0:00,664.78,3,6,South
217,22,Female,Auto,28/04/2022,,991.86,3,8,East
218,18,Male,Motor,14/10/2020,14/10/2022 0:00,982.15,1,7,South
219,26,Male,Motor,08/12/2019,,1209.88,0,5,South
220,58,Male,Auto,25/11/2021,25/11/2022 0:00,309.57,3,6,West
221,51,Female,Motor,31/01/2023,31/01/2024 0:00,939.44,2,8,South
222,39,Male,Motor,10/04/2023,,479.16,5,10,South
223,70,Female,Auto,26/02/2020,26/02/2021 0:00,837.99,4,2,South
224,40,Male,Home,14/11/2020,14/11/2023 0:00,651.9,3,5,South
225,,Male,Motor,21/12/2023,21/12/2024 0:00,1347.66,3,5,South
226,22,Female,Motor,14/03/2021,14/03/2023 0:00,597.13,4,6,South
227,52,Female,Auto,11/03/2021,11/03/2023 0:00,346.64,2,5,South
228,30,Male,Home,07/05/2021,07/05/2023 0:00,1211.73,1,4,East
229,42,Male,Home,10/08/2020,10/08/2022 0:00,648.78,1,4,East
230,51,Male,Motor,12/08/2023,12/08/2026 0:00,1145.68,5,10,North
231,60,Female,Motor,03/07/2022,03/07/2023 0:00,1045.35,5,5,East
232,68,Female,Motor,08/10/2019,08/10/2022 0:00,426.84,4,10,East
233,64,Male,Auto,17/08/2020,,1011.35,2,3,North
234,45,Female,Motor,09/12/2022,,1310.06,1,7,North
235,69,Female,Auto,01/06/2024,01/06/2026 0:00,818.54,1,5,West
236,47,Male,Motor,28/10/2019,28/10/2020 0:00,891.52,0,5,East
237,37,Female,Home,24/01/2020,24/01/2021 0:00,395.98,5,8,West
238,31,Female,Motor,24/04/2023,,972.71,4,6,North
239,24,Female,Motor,14/06/2023,,844.98,1,3,North
240,33,,Motor,13/10/2022,13/10/2023 0:00,793.51,4,2,West
241,37,Male,Motor,08/03/2023,,744.11,4,7,West
242,42,Male,Home,03/09/2020,03/09/2022 0:00,1452.55,0,7,North
243,18,Male,Home,01/03/2024,01/03/2026 0:00,1130.26,4,5,East
244,37,Female,Home,07/09/2021,07/09/2024 0:00,256.67,5,10,North
245,,Female,Home,11/09/2020,11/09/2022 0:00,780.83,3,2,North
246,44,Female,Auto,22/01/2024,22/01/2025 0:00,686.76,4,3,West
247,19,Female,Home,03/04/2023,03/04/2025 0:00,484.97,0,8,West
248,62,Female,Motor,02/08/2024,02/08/2025 0:00,542.7,3,3,South
249,48,Female,Home,26/11/2023,26/11/2024 0:00,746.81,1,6,West
250,27,Female,Home,05/08/2021,05/08/2024 0:00,1482.13,0,7,South
251,28,Female,Home,23/06/2020,23/06/2022 0:00,1018.85,2,2,South
252,25,Female,Auto,02/11/2022,02/11/2023 0:00,778.39,2,1,West
253,47,Male,Home,06/12/2021,06/12/2022 0:00,935.05,1,7,East
254,28,Male,Motor,19/12/2019,,1313.03,4,5,East
255,28,Female,Motor,09/05/2023,09/05/2025 0:00,398.97,,7,East
256,47,Male,Auto,02/06/2024,02/06/2025 0:00,712.98,2,2,East
257,46,Female,Motor,08/07/2024,08/07/2027 0:00,892.76,2,4,East
258,36,Male,Motor,27/06/2021,,855.28,0,6,South
259,24,Male,Home,17/01/2022,17/01/2024 0:00,644.85,3,5,East
260,,Female,Motor,22/03/2024,22/03/2025 0:00,818.22,3,7,West
261,68,Female,Auto,30/08/2022,30/08/2025 0:00,1132.06,1,4,West
262,68,Male,Auto,19/08/2024,19/08/2026 0:00,1293.41,4,5,North
263,20,Male,Home,28/02/2024,28/02/2026 0:00,392.49,4,3,East
264,34,Male,Auto,12/02/2023,,662.09,4,8,East
265,60,Female,Auto,15/12/2023,15/12/2024 0:00,1024.27,0,2,North
266,59,Female,Auto,20/08/2023,20/08/2025 0:00,898.53,0,8,South
267,70,Female,Motor,17/09/2021,,665.18,,3,North
268,59,Female,Motor,09/07/2024,09/07/2027 0:00,429.14,1,7,East
269,70,Female,Auto,08/02/2024,08/02/2026 0:00,1425.78,4,10,East
270,55,Male,Motor,17/12/2020,17/12/2023 0:00,1290.92,5,10,East
271,60,Male,Home,16/05/2020,16/05/2021 0:00,1357.99,2,5,East
272,25,Female,Home,25/09/2021,,961.59,3,6,South
273,46,Female,Motor,20/09/2021,20/09/2022 0:00,365.12,5,7,West
274,18,Male,Motor,14/11/2023,14/11/2025 0:00,1180.36,2,9,North
275,58,Male,Motor,26/06/2020,26/06/2021 0:00,1490.26,3,7,East
276,25,Female,Motor,04/06/2023,,519.49,3,3,West
277,56,Male,Motor,19/10/2023,,960.45,5,10,North
278,66,Male,Motor,20/07/2023,20/07/2024 0:00,629.09,0,4,North
279,45,Female,Motor,27/09/2019,27/09/2022 0:00,841.87,4,8,East
280,64,Female,Motor,17/10/2022,17/10/2023 0:00,444.18,2,7,North
281,59,Male,Motor,20/03/2022,20/03/2025 0:00,545.82,4,2,East
282,,Male,Motor,07/04/2021,,881.63,2,8,West
283,64,Male,Motor,06/11/2021,,1305.25,0,2,West
284,66,Male,Motor,26/02/2024,26/02/2025 0:00,413.69,1,9,East
285,29,Female,Motor,02/10/2021,,517.25,0,3,East
286,65,Female,Motor,23/07/2024,,1343.81,3,8,North
287,42,Female,Motor,28/06/2020,28/06/2023 0:00,1328.96,0,10,West
288,63,Male,Auto,30/04/2023,30/04/2026 0:00,296.94,5,10,North
289,49,Male,Motor,30/12/2020,30/12/2022 0:00,591.71,0,8,South
290,18,Male,Motor,26/12/2023,,688.64,,4,South
291,20,Female,Auto,28/04/2020,28/04/2021 0:00,284.74,2,10,North
292,48,Male,Motor,09/11/2019,,1167.39,0,4,North
293,66,Female,Motor,02/02/2024,,301.55,5,9,South
294,,Female,Auto,31/07/2022,31/07/2025 0:00,1386.35,2,10,West
295,64,Female,Motor,21/05/2022,,633.99,1,3,West
296,49,Female,Motor,02/01/2024,02/01/2026 0:00,582.92,4,7,North
297,66,Female,Motor,12/12/2023,12/12/2026 0:00,495.87,1,1,West
298,46,Female,Home,18/03/2020,18/03/2022 0:00,556.36,2,5,West
299,18,Female,Auto,17/08/2020,17/08/2022 0:00,490.45,4,7,East
300,68,Female,Motor,16/09/2020,,1077.81,3,2,East
301,22,Female,Auto,20/07/2020,20/07/2023 0:00,1289.98,2,10,East
302,28,Female,Motor,06/04/2023,06/04/2024 0:00,426.84,0,10,West
303,62,Female,Home,04/08/2022,04/08/2024 0:00,761.15,3,10,North
304,24,Male,Motor,09/12/2022,,1021.05,0,8,North
305,38,Female,Motor,10/09/2022,10/09/2023 0:00,654.07,5,2,North
306,22,Female,Home,19/10/2022,19/10/2025 0:00,729.02,,6,West
307,30,Female,Home,21/11/2021,,862.73,4,2,West
308,52,Female,Home,05/01/2022,05/01/2024 0:00,495.48,1,7,East
309,,Male,Auto,02/10/2021,02/10/2024 0:00,793.48,5,7,East
310,25,Female,Motor,19/03/2023,19/03/2024 0:00,1446.98,1,2,North
311,36,Female,Auto,30/06/2023,30/06/2024 0:00,775.44,2,4,West
312,48,Male,Home,18/06/2022,18/06/2025 0:00,1047.77,4,4,West
313,55,Male,Auto,19/08/2021,19/08/2022 0:00,1075.09,3,2,West
314,41,Female,Motor,26/07/2020,26/07/2022 0:00,1475.88,2,3,North
315,33,Female,Home,06/10/2019,06/10/2020 0:00,915.1,4,2,South
316,21,Female,Motor,26/04/2023,26/04/2024 0:00,754.13,4,10,West
317,32,Male,Auto,26/01/2022,26/01/2025 0:00,1188.2,0,8,North
318,36,Male,Auto,11/05/2023,11/05/2025 0:00,819.08,0,6,North
319,53,Female,Motor,03/11/2021,03/11/2023 0:00,436.66,0,8,West
320,36,Female,Motor,07/02/2021,07/02/2022 0:00,306.57,3,6,East
321,44,Female,Home,12/05/2024,12/05/2027 0:00,900.87,,7,West
322,56,Male,Auto,31/05/2024,31/05/2026 0:00,1238.2,4,8,North
323,,Male,Home,17/03/2020,17/03/2021 0:00,831.74,0,9,West
324,20,Male,Motor,21/09/2024,21/09/2026 0:00,1359.71,4,2,East
325,41,Female,Motor,04/08/2024,,invalid,3,7,East
326,60,Female,Motor,10/02/2021,10/02/2022 0:00,1280.77,1,4,South
327,57,Male,Motor,19/06/2021,,766.26,2,4,North
328,49,Female,Home,13/08/2020,13/08/2021 0:00,1373.47,2,4,East
329,62,Male,Motor,22/04/2021,,1330.33,2,,North
330,22,Female,Home,28/11/2023,,467.67,3,10,South
331,60,Female,Home,14/07/2022,14/07/2025 0:00,479.98,2,2,South
332,50,Female,Motor,02/04/2021,02/04/2023 0:00,928.88,1,8,East
333,26,Male,Auto,27/04/2022,27/04/2024 0:00,1013.33,1,3,South
334,53,Male,Auto,04/08/2022,04/08/2025 0:00,563.92,0,7,West
335,41,Female,Auto,29/09/2022,29/09/2023 0:00,1468.33,2,4,North
336,34,Female,Auto,13/12/2020,13/12/2021 0:00,578.44,1,3,East
337,47,Male,Motor,15/04/2022,,1076.89,0,7,North
338,34,Female,Auto,15/01/2022,15/01/2024 0:00,438.49,2,6,West
339,34,Male,Motor,18/05/2024,18/05/2027 0:00,541.79,0,3,West
340,36,Female,Motor,11/09/2024,,977.98,5,6,South
341,29,Female,Auto,10/11/2021,10/11/2022 0:00,1125.67,5,7,East
342,67,Male,Motor,13/08/2020,13/08/2022 0:00,1417.8,3,2,South
343,56,Female,Home,06/02/2020,06/02/2021 0:00,346.21,0,7,West
344,63,Female,Home,21/09/2024,21/09/2026 0:00,738.12,2,6,South
345,65,Female,Home,08/09/2022,08/09/2025 0:00,919.73,1,2,South
346,65,Female,Motor,06/04/2022,,320.97,5,9,East
347,23,Male,Motor,26/06/2021,26/06/2022 0:00,1420.03,2,1,East
348,64,Male,Home,01/12/2020,01/12/2023 0:00,275.13,4,5,East
349,42,Female,Motor,22/01/2022,22/01/2023 0:00,582.06,4,2,South
350,19,Male,Auto,02/04/2020,02/04/2021 0:00,invalid,4,4,North
351,54,Female,Auto,17/11/2023,17/11/2025 0:00,928.56,1,9,North
352,18,Female,Auto,15/08/2021,15/08/2022 0:00,1328.14,1,5,North
353,26,Female,Auto,19/07/2021,19/07/2023 0:00,1420.76,4,1,East
354,18,Male,Auto,12/10/2021,12/10/2024 0:00,434.38,3,2,South
355,36,Female,Motor,16/09/2024,16/09/2025 0:00,549.2,1,8,North
356,45,Male,Motor,06/03/2024,,1242.78,3,7,North
357,45,Female,Motor,26/07/2023,26/07/2024 0:00,1004.68,3,2,East
358,42,Male,Home,21/02/2023,21/02/2026 0:00,756.45,4,6,South
359,43,Male,Home,20/05/2022,20/05/2025 0:00,291.62,0,7,North
360,57,Male,Motor,09/10/2019,,433.91,1,2,South
361,29,Male,Motor,28/01/2021,28/01/2022 0:00,440.56,1,2,West
362,66,Male,Home,13/08/2024,13/08/2027 0:00,1103.23,1,10,West
363,43,Male,Motor,26/11/2020,26/11/2022 0:00,332.32,0,10,West
364,53,Male,Auto,01/07/2022,01/07/2023 0:00,1220.56,0,7,North
365,31,Male,Motor,01/11/2020,,1425.77,,1,West
366,62,Female,Home,08/07/2023,08/07/2026 0:00,1132.25,5,5,South
367,67,Female,Motor,31/01/2020,,333.11,4,2,East
368,61,Female,Auto,26/09/2023,26/09/2025 0:00,683.44,5,9,West
369,45,Female,Auto,02/04/2020,02/04/2021 0:00,831.81,0,3,South
370,37,Female,Motor,06/11/2019,,1432.33,5,4,North
371,60,Female,Motor,15/04/2022,,721.19,3,6,North
372,26,Female,Motor,08/08/2022,,341.23,2,5,South
373,43,Female,Auto,04/05/2024,04/05/2026 0:00,726.93,5,10,East
374,48,Male,Motor,05/12/2022,,1170.63,0,3,East
375,21,Male,Motor,05/01/2021,,1039.97,2,10,South
376,46,Female,Auto,04/12/2021,,1191.47,1,3,West
377,26,Female,Motor,29/10/2020,,1387.3,0,10,West
378,70,Female,Home,20/03/2021,20/03/2022 0:00,1482.02,2,5,North
379,18,Female,Home,09/03/2023,09/03/2026 0:00,1235.77,3,8,East
380,27,Female,Home,27/07/2024,27/07/2026 0:00,978.56,3,6,South
381,,Female,Auto,21/04/2024,21/04/2026 0:00,995.22,4,10,East
