Date,DateKey,Year,Month,MonthName,MonthShort,Day,DayOfWeekNum,DayName,IsWeekend,Quarter,QuarterName,WeekOfYear,FiscalYear,FiscalYearLabel,FiscalMonthNum,FiscalQuarter
2023-12-19,20231219,2023,12,December,Dec,19,1,Tuesday,False,4,Q4,51,2023,FY23-24,9,3
2023-12-20,20231220,2023,12,December,Dec,20,2,Wednesday,False,4,Q4,51,2023,FY23-24,9,3
2023-12-21,20231221,2023,12,December,Dec,21,3,Thursday,False,4,Q4,51,2023,FY23-24,9,3
2023-12-22,20231222,2023,12,December,Dec,22,4,Friday,False,4,Q4,51,2023,FY23-24,9,3
2023-12-23,20231223,2023,12,December,Dec,23,5,Saturday,True,4,Q4,51,2023,FY23-24,9,3
2023-12-24,20231224,2023,12,December,Dec,24,6,Sunday,True,4,Q4,51,2023,FY23-24,9,3
2023-12-25,20231225,2023,12,December,Dec,25,0,Monday,False,4,Q4,52,2023,FY23-24,9,3
2023-12-26,20231226,2023,12,December,Dec,26,1,Tuesday,False,4,Q4,52,2023,FY23-24,9,3
2023-12-27,20231227,2023,12,December,Dec,27,2,Wednesday,False,4,Q4,52,2023,FY23-24,9,3
2023-12-28,20231228,2023,12,December,Dec,28,3,Thursday,False,4,Q4,52,2023,FY23-24,9,3
2023-12-29,20231229,2023,12,December,Dec,29,4,Friday,False,4,Q4,52,2023,FY23-24,9,3
2023-12-30,20231230,2023,12,December,Dec,30,5,Saturday,True,4,Q4,52,2023,FY23-24,9,3
2023-12-31,20231231,2023,12,December,Dec,31,6,Sunday,True,4,Q4,52,2023,FY23-24,9,3
2024-01-01,20240101,2024,1,January,Jan,1,0,Monday,False,1,Q1,1,2023,FY23-24,10,4
2024-01-02,20240102,2024,1,January,Jan,2,1,Tuesday,False,1,Q1,1,2023,FY23-24,10,4
2024-01-03,20240103,2024,1,January,Jan,3,2,Wednesday,False,1,Q1,1,2023,FY23-24,10,4
2024-01-04,20240104,2024,1,January,Jan,4,3,Thursday,False,1,Q1,1,2023,FY23-24,10,4
2024-01-05,20240105,2024,1,January,Jan,5,4,Friday,False,1,Q1,1,2023,FY23-24,10,4
2024-01-06,20240106,2024,1,January,Jan,6,5,Saturday,True,1,Q1,1,2023,FY23-24,10,4
2024-01-07,20240107,2024,1,January,Jan,7,6,Sunday,True,1,Q1,1,2023,FY23-24,10,4
2024-01-08,20240108,2024,1,January,Jan,8,0,Monday,False,1,Q1,2,2023,FY23-24,10,4
2024-01-09,20240109,2024,1,January,Jan,9,1,Tuesday,False,1,Q1,2,2023,FY23-24,10,4
2024-01-10,20240110,2024,1,January,Jan,10,2,Wednesday,False,1,Q1,2,2023,FY23-24,10,4
2024-01-11,20240111,2024,1,January,Jan,11,3,Thursday,False,1,Q1,2,2023,FY23-24,10,4
2024-01-12,20240112,2024,1,January,Jan,12,4,Friday,False,1,Q1,2,2023,FY23-24,10,4
2024-01-13,20240113,2024,1,January,Jan,13,5,Saturday,True,1,Q1,2,2023,FY23-24,10,4
2024-01-14,20240114,2024,1,January,Jan,14,6,Sunday,True,1,Q1,2,2023,FY23-24,10,4
2024-01-15,20240115,2024,1,January,Jan,15,0,Monday,False,1,Q1,3,2023,FY23-24,10,4
2024-01-16,20240116,2024,1,January,Jan,16,1,Tuesday,False,1,Q1,3,2023,FY23-24,10,4
2024-01-17,20240117,2024,1,January,Jan,17,2,Wednesday,False,1,Q1,3,2023,FY23-24,10,4
2024-01-18,20240118,2024,1,January,Jan,18,3,Thursday,False,1,Q1,3,2023,FY23-24,10,4
2024-01-19,20240119,2024,1,January,Jan,19,4,Friday,False,1,Q1,3,2023,FY23-24,10,4
2024-01-20,20240120,2024,1,January,Jan,20,5,Saturday,True,1,Q1,3,2023,FY23-24,10,4
2024-01-21,20240121,2024,1,January,Jan,21,6,Sunday,True,1,Q1,3,2023,FY23-24,10,4
2024-01-22,20240122,2024,1,January,Jan,22,0,Monday,False,1,Q1,4,2023,FY23-24,10,4
2024-01-23,20240123,2024,1,January,Jan,23,1,Tuesday,False,1,Q1,4,2023,FY23-24,10,4
2024-01-24,20240124,2024,1,January,Jan,24,2,Wednesday,False,1,Q1,4,2023,FY23-24,10,4
2024-01-25,20240125,2024,1,January,Jan,25,3,Thursday,False,1,Q1,4,2023,FY23-24,10,4
2024-01-26,20240126,2024,1,January,Jan,26,4,Friday,False,1,Q1,4,2023,FY23-24,10,4
2024-01-27,20240127,2024,1,January,Jan,27,5,Saturday,True,1,Q1,4,2023,FY23-24,10,4
2024-01-28,20240128,2024,1,January,Jan,28,6,Sunday,True,1,Q1,4,2023,FY23-24,10,4
2024-01-29,20240129,2024,1,January,Jan,29,0,Monday,False,1,Q1,5,2023,FY23-24,10,4
2024-01-30,20240130,2024,1,January,Jan,30,1,Tuesday,False,1,Q1,5,2023,FY23-24,10,4
2024-01-31,20240131,2024,1,January,Jan,31,2,Wednesday,False,1,Q1,5,2023,FY23-24,10,4
2024-02-01,20240201,2024,2,February,Feb,1,3,Thursday,False,1,Q1,5,2023,FY23-24,11,4
2024-02-02,20240202,2024,2,February,Feb,2,4,Friday,False,1,Q1,5,2023,FY23-24,11,4
2024-02-03,20240203,2024,2,February,Feb,3,5,Saturday,True,1,Q1,5,2023,FY23-24,11,4
2024-02-04,20240204,2024,2,February,Feb,4,6,Sunday,True,1,Q1,5,2023,FY23-24,11,4
2024-02-05,20240205,2024,2,February,Feb,5,0,Monday,False,1,Q1,6,2023,FY23-24,11,4
2024-02-06,20240206,2024,2,February,Feb,6,1,Tuesday,False,1,Q1,6,2023,FY23-24,11,4
2024-02-07,20240207,2024,2,February,Feb,7,2,Wednesday,False,1,Q1,6,2023,FY23-24,11,4
2024-02-08,20240208,2024,2,February,Feb,8,3,Thursday,False,1,Q1,6,2023,FY23-24,11,4
2024-02-09,20240209,2024,2,February,Feb,9,4,Friday,False,1,Q1,6,2023,FY23-24,11,4
2024-02-10,20240210,2024,2,February,Feb,10,5,Saturday,True,1,Q1,6,2023,FY23-24,11,4
2024-02-11,20240211,2024,2,February,Feb,11,6,Sunday,True,1,Q1,6,2023,FY23-24,11,4
2024-02-12,20240212,2024,2,February,Feb,12,0,Monday,False,1,Q1,7,2023,FY23-24,11,4
2024-02-13,20240213,2024,2,February,Feb,13,1,Tuesday,False,1,Q1,7,2023,FY23-24,11,4
2024-02-14,20240214,2024,2,February,Feb,14,2,Wednesday,False,1,Q1,7,2023,FY23-24,11,4
2024-02-15,20240215,2024,2,February,Feb,15,3,Thursday,False,1,Q1,7,2023,FY23-24,11,4
2024-02-16,20240216,2024,2,February,Feb,16,4,Friday,False,1,Q1,7,2023,FY23-24,11,4
2024-02-17,20240217,2024,2,February,Feb,17,5,Saturday,True,1,Q1,7,2023,FY23-24,11,4
2024-02-18,20240218,2024,2,February,Feb,18,6,Sunday,True,1,Q1,7,2023,FY23-24,11,4
2024-02-19,20240219,2024,2,February,Feb,19,0,Monday,False,1,Q1,8,2023,FY23-24,11,4
2024-02-20,20240220,2024,2,February,Feb,20,1,Tuesday,False,1,Q1,8,2023,FY23-24,11,4
2024-02-21,20240221,2024,2,February,Feb,21,2,Wednesday,False,1,Q1,8,2023,FY23-24,11,4
2024-02-22,20240222,2024,2,February,Feb,22,3,Thursday,False,1,Q1,8,2023,FY23-24,11,4
2024-02-23,20240223,2024,2,February,Feb,23,4,Friday,False,1,Q1,8,2023,FY23-24,11,4
2024-02-24,20240224,2024,2,February,Feb,24,5,Saturday,True,1,Q1,8,2023,FY23-24,11,4
2024-02-25,20240225,2024,2,February,Feb,25,6,Sunday,True,1,Q1,8,2023,FY23-24,11,4
2024-02-26,20240226,2024,2,February,Feb,26,0,Monday,False,1,Q1,9,2023,FY23-24,11,4
2024-02-27,20240227,2024,2,February,Feb,27,1,Tuesday,False,1,Q1,9,2023,FY23-24,11,4
2024-02-28,20240228,2024,2,February,Feb,28,2,Wednesday,False,1,Q1,9,2023,FY23-24,11,4
2024-02-29,20240229,2024,2,February,Feb,29,3,Thursday,False,1,Q1,9,2023,FY23-24,11,4
2024-03-01,20240301,2024,3,March,Mar,1,4,Friday,False,1,Q1,9,2023,FY23-24,12,4
2024-03-02,20240302,2024,3,March,Mar,2,5,Saturday,True,1,Q1,9,2023,FY23-24,12,4
2024-03-03,20240303,2024,3,March,Mar,3,6,Sunday,True,1,Q1,9,2023,FY23-24,12,4
2024-03-04,20240304,2024,3,March,Mar,4,0,Monday,False,1,Q1,10,2023,FY23-24,12,4
2024-03-05,20240305,2024,3,March,Mar,5,1,Tuesday,False,1,Q1,10,2023,FY23-24,12,4
2024-03-06,20240306,2024,3,March,Mar,6,2,Wednesday,False,1,Q1,10,2023,FY23-24,12,4
2024-03-07,20240307,2024,3,March,Mar,7,3,Thursday,False,1,Q1,10,2023,FY23-24,12,4
2024-03-08,20240308,2024,3,March,Mar,8,4,Friday,False,1,Q1,10,2023,FY23-24,12,4
2024-03-09,20240309,2024,3,March,Mar,9,5,Saturday,True,1,Q1,10,2023,FY23-24,12,4
2024-03-10,20240310,2024,3,March,Mar,10,6,Sunday,True,1,Q1,10,2023,FY23-24,12,4
2024-03-11,20240311,2024,3,March,Mar,11,0,Monday,False,1,Q1,11,2023,FY23-24,12,4
2024-03-12,20240312,2024,3,March,Mar,12,1,Tuesday,False,1,Q1,11,2023,FY23-24,12,4
2024-03-13,20240313,2024,3,March,Mar,13,2,Wednesday,False,1,Q1,11,2023,FY23-24,12,4
2024-03-14,20240314,2024,3,March,Mar,14,3,Thursday,False,1,Q1,11,2023,FY23-24,12,4
2024-03-15,20240315,2024,3,March,Mar,15,4,Friday,False,1,Q1,11,2023,FY23-24,12,4
2024-03-16,20240316,2024,3,March,Mar,16,5,Saturday,True,1,Q1,11,2023,FY23-24,12,4
2024-03-17,20240317,2024,3,March,Mar,17,6,Sunday,True,1,Q1,11,2023,FY23-24,12,4
2024-03-18,20240318,2024,3,March,Mar,18,0,Monday,False,1,Q1,12,2023,FY23-24,12,4
2024-03-19,20240319,2024,3,March,Mar,19,1,Tuesday,False,1,Q1,12,2023,FY23-24,12,4
2024-03-20,20240320,2024,3,March,Mar,20,2,Wednesday,False,1,Q1,12,2023,FY23-24,12,4
2024-03-21,20240321,2024,3,March,Mar,21,3,Thursday,False,1,Q1,12,2023,FY23-24,12,4
2024-03-22,20240322,2024,3,March,Mar,22,4,Friday,False,1,Q1,12,2023,FY23-24,12,4
2024-03-23,20240323,2024,3,March,Mar,23,5,Saturday,True,1,Q1,12,2023,FY23-24,12,4
2024-03-24,20240324,2024,3,March,Mar,24,6,Sunday,True,1,Q1,12,2023,FY23-24,12,4
2024-03-25,20240325,2024,3,March,Mar,25,0,Monday,False,1,Q1,13,2023,FY23-24,12,4
2024-03-26,20240326,2024,3,March,Mar,26,1,Tuesday,False,1,Q1,13,2023,FY23-24,12,4
2024-03-27,20240327,2024,3,March,Mar,27,2,Wednesday,False,1,Q1,13,2023,FY23-24,12,4
2024-03-28,20240328,2024,3,March,Mar,28,3,Thursday,False,1,Q1,13,2023,FY23-24,12,4
2024-03-29,20240329,2024,3,March,Mar,29,4,Friday,False,1,Q1,13,2023,FY23-24,12,4
2024-03-30,20240330,2024,3,March,Mar,30,5,Saturday,True,1,Q1,13,2023,FY23-24,12,4
2024-03-31,20240331,2024,3,March,Mar,31,6,Sunday,True,1,Q1,13,2023,FY23-24,12,4
2024-04-01,20240401,2024,4,April,Apr,1,0,Monday,False,2,Q2,14,2024,FY24-25,1,1
2024-04-02,20240402,2024,4,April,Apr,2,1,Tuesday,False,2,Q2,14,2024,FY24-25,1,1
2024-04-03,20240403,2024,4,April,Apr,3,2,Wednesday,False,2,Q2,14,2024,FY24-25,1,1
2024-04-04,20240404,2024,4,April,Apr,4,3,Thursday,False,2,Q2,14,2024,FY24-25,1,1
2024-04-05,20240405,2024,4,April,Apr,5,4,Friday,False,2,Q2,14,2024,FY24-25,1,1
2024-04-06,20240406,2024,4,April,Apr,6,5,Saturday,True,2,Q2,14,2024,FY24-25,1,1
2024-04-07,20240407,2024,4,April,Apr,7,6,Sunday,True,2,Q2,14,2024,FY24-25,1,1
2024-04-08,20240408,2024,4,April,Apr,8,0,Monday,False,2,Q2,15,2024,FY24-25,1,1
2024-04-09,20240409,2024,4,April,Apr,9,1,Tuesday,False,2,Q2,15,2024,FY24-25,1,1
2024-04-10,20240410,2024,4,April,Apr,10,2,Wednesday,False,2,Q2,15,2024,FY24-25,1,1
2024-04-11,20240411,2024,4,April,Apr,11,3,Thursday,False,2,Q2,15,2024,FY24-25,1,1
2024-04-12,20240412,2024,4,April,Apr,12,4,Friday,False,2,Q2,15,2024,FY24-25,1,1
2024-04-13,20240413,2024,4,April,Apr,13,5,Saturday,True,2,Q2,15,2024,FY24-25,1,1
2024-04-14,20240414,2024,4,April,Apr,14,6,Sunday,True,2,Q2,15,2024,FY24-25,1,1
2024-04-15,20240415,2024,4,April,Apr,15,0,Monday,False,2,Q2,16,2024,FY24-25,1,1
2024-04-16,20240416,2024,4,April,Apr,16,1,Tuesday,False,2,Q2,16,2024,FY24-25,1,1
2024-04-17,20240417,2024,4,April,Apr,17,2,Wednesday,False,2,Q2,16,2024,FY24-25,1,1
2024-04-18,20240418,2024,4,April,Apr,18,3,Thursday,False,2,Q2,16,2024,FY24-25,1,1
2024-04-19,20240419,2024,4,April,Apr,19,4,Friday,False,2,Q2,16,2024,FY24-25,1,1
2024-04-20,20240420,2024,4,April,Apr,20,5,Saturday,True,2,Q2,16,2024,FY24-25,1,1
2024-04-21,20240421,2024,4,April,Apr,21,6,Sunday,True,2,Q2,16,2024,FY24-25,1,1
2024-04-22,20240422,2024,4,April,Apr,22,0,Monday,False,2,Q2,17,2024,FY24-25,1,1
2024-04-23,20240423,2024,4,April,Apr,23,1,Tuesday,False,2,Q2,17,2024,FY24-25,1,1
2024-04-24,20240424,2024,4,April,Apr,24,2,Wednesday,False,2,Q2,17,2024,FY24-25,1,1
2024-04-25,20240425,2024,4,April,Apr,25,3,Thursday,False,2,Q2,17,2024,FY24-25,1,1
2024-04-26,20240426,2024,4,April,Apr,26,4,Friday,False,2,Q2,17,2024,FY24-25,1,1
2024-04-27,20240427,2024,4,April,Apr,27,5,Saturday,True,2,Q2,17,2024,FY24-25,1,1
2024-04-28,20240428,2024,4,April,Apr,28,6,Sunday,True,2,Q2,17,2024,FY24-25,1,1
2024-04-29,20240429,2024,4,April,Apr,29,0,Monday,False,2,Q2,18,2024,FY24-25,1,1
2024-04-30,20240430,2024,4,April,Apr,30,1,Tuesday,False,2,Q2,18,2024,FY24-25,1,1
2024-05-01,20240501,2024,5,May,May,1,2,Wednesday,False,2,Q2,18,2024,FY24-25,2,1
2024-05-02,20240502,2024,5,May,May,2,3,Thursday,False,2,Q2,18,2024,FY24-25,2,1
2024-05-03,20240503,2024,5,May,May,3,4,Friday,False,2,Q2,18,2024,FY24-25,2,1
2024-05-04,20240504,2024,5,May,May,4,5,Saturday,True,2,Q2,18,2024,FY24-25,2,1
2024-05-05,20240505,2024,5,May,May,5,6,Sunday,True,2,Q2,18,2024,FY24-25,2,1
2024-05-06,20240506,2024,5,May,May,6,0,Monday,False,2,Q2,19,2024,FY24-25,2,1
2024-05-07,20240507,2024,5,May,May,7,1,Tuesday,False,2,Q2,19,2024,FY24-25,2,1
2024-05-08,20240508,2024,5,May,May,8,2,Wednesday,False,2,Q2,19,2024,FY24-25,2,1
2024-05-09,20240509,2024,5,May,May,9,3,Thursday,False,2,Q2,19,2024,FY24-25,2,1
2024-05-10,20240510,2024,5,May,May,10,4,Friday,False,2,Q2,19,2024,FY24-25,2,1
2024-05-11,20240511,2024,5,May,May,11,5,Saturday,True,2,Q2,19,2024,FY24-25,2,1
2024-05-12,20240512,2024,5,May,May,12,6,Sunday,True,2,Q2,19,2024,FY24-25,2,1
